From country;Televote Points;To country
Sweden;0.0;Georgia
Sweden;0.0;Germany
Sweden;0.0;Hungary
Sweden;0.0;Israel
Sweden;0.0;Italy
Sweden;0.0;Latvia
Sweden;6.0;Lithuania
Sweden;0.0;Malta
Sweden;10.0;Poland
Sweden;8.0;Russia
Sweden;0.0;Serbia
Sweden;1.0;Spain
Sweden;12.0;Sweden
Sweden;2.0;The Netherlands
Sweden;7.0;Ukraine
Sweden;0.0;United Kingdom
Switzerland;0.0;Armenia
Switzerland;1.0;Australia
Switzerland;10.0;Austria
Switzerland;0.0;Azerbaijan
Switzerland;0.0;Belgium
Switzerland;0.0;Bulgaria
Switzerland;0.0;Croatia
Switzerland;0.0;Cyprus
Switzerland;0.0;Czech Republic
Switzerland;3.0;France
Switzerland;0.0;Georgia
Switzerland;8.0;Germany
Switzerland;0.0;Hungary
Switzerland;0.0;Israel
Switzerland;7.0;Italy
Switzerland;0.0;Latvia
Switzerland;0.0;Lithuania
Switzerland;0.0;Malta
Switzerland;5.0;Poland
Switzerland;6.0;Russia
Switzerland;12.0;Serbia
Switzerland;2.0;Spain
Switzerland;0.0;Sweden
Switzerland;0.0;The Netherlands
Switzerland;4.0;Ukraine
Switzerland;0.0;United Kingdom
The Netherlands;8.0;Armenia
The Netherlands;5.0;Australia
The Netherlands;6.0;Austria
The Netherlands;0.0;Azerbaijan
The Netherlands;12.0;Belgium
The Netherlands;1.0;Bulgaria
The Netherlands;0.0;Croatia
The Netherlands;0.0;Cyprus
The Netherlands;0.0;Czech Republic
The Netherlands;4.0;France
The Netherlands;0.0;Georgia
The Netherlands;0.0;Germany
The Netherlands;0.0;Hungary
The Netherlands;0.0;Israel
The Netherlands;0.0;Italy
The Netherlands;0.0;Latvia
The Netherlands;0.0;Lithuania
The Netherlands;0.0;Malta
The Netherlands;10.0;Poland
The Netherlands;3.0;Russia
The Netherlands;0.0;Serbia
The Netherlands;0.0;Spain
The Netherlands;2.0;Sweden
The Netherlands;12.0;The Netherlands
The Netherlands;7.0;Ukraine
The Netherlands;0.0;United Kingdom
Ukraine;7.0;Armenia
Ukraine;4.0;Australia
Ukraine;0.0;Austria
Ukraine;10.0;Azerbaijan
Ukraine;0.0;Belgium
Ukraine;2.0;Bulgaria
Ukraine;0.0;Croatia
Ukraine;0.0;Cyprus
Ukraine;0.0;Czech Republic
Ukraine;0.0;France
Ukraine;6.0;Georgia
Ukraine;0.0;Germany
Ukraine;0.0;Hungary
Ukraine;0.0;Israel
Ukraine;0.0;Italy
Ukraine;5.0;Latvia
Ukraine;3.0;Lithuania
Ukraine;0.0;Malta
Ukraine;8.0;Poland
Ukraine;12.0;Russia
Ukraine;0.0;Serbia
Ukraine;0.0;Spain
Ukraine;1.0;Sweden
Ukraine;0.0;The Netherlands
Ukraine;12.0;Ukraine
Ukraine;0.0;United Kingdom
United Kingdom;0.0;Armenia
United Kingdom;6.0;Australia
United Kingdom;0.0;Austria
United Kingdom;0.0;Azerbaijan
United Kingdom;0.0;Belgium
United Kingdom;8.0;Bulgaria
United Kingdom;0.0;Croatia
United Kingdom;2.0;Cyprus
United Kingdom;0.0;Czech Republic
United Kingdom;0.0;France
United Kingdom;0.0;Georgia
United Kingdom;0.0;Germany
United Kingdom;0.0;Hungary
United Kingdom;0.0;Israel
United Kingdom;0.0;Italy
United Kingdom;3.0;Latvia
United Kingdom;12.0;Lithuania
United Kingdom;0.0;Malta
United Kingdom;10.0;Poland
United Kingdom;7.0;Russia
United Kingdom;0.0;Serbia
United Kingdom;4.0;Spain
United Kingdom;1.0;Sweden
United Kingdom;0.0;The Netherlands
United Kingdom;5.0;Ukraine
United Kingdom;12.0;United Kingdom
