cep_origem;latitude_origem;longitude_origem;cep_destino;latitude_destino;longitude_destino
03043-000;-23.5521669;-46.6123188;05027-000;-23.5337238;-46.6929631
02730-000;-23.4994489;-46.6918675;02403-000;-23.4945331;-46.6274206
04753-000;-23.651162;-46.7090565;02723-000;-23.4994362;-46.6808449
03215-000;-23.6082789;-46.5576499;03015-000;-23.533182;-46.59454350000001
02474-000;-23.477487300000004;-46.6544047;05757-000;-23.6291189;-46.7689261
03476-000;-23.5722844;-46.5142096;04744-000;-23.6559127;-46.70645800000001
05088-000;-23.5222855;-46.72725820000001;05268-000;-23.4376271;-46.78776149999999
03934-000;-23.590534100000006;-46.5016675;01308-000;-23.5564347;-46.6530153
03668-000;-23.530974800000006;-46.4920625;04271-000;-23.589916;-46.6156404
08151-000;-23.5076249;-46.4044739;02322-000;-23.4471418;-46.5928733
08270-000;-23.5681771;-46.46865589999999;04036-000;-23.5953768;-46.6367285
02245-000;-23.4834837;-46.60600720000001;04134-000;-23.6083611;-46.6219005
02466-000;-23.498122;-46.641103;03406-000;-23.5416178;-46.5459334
08151-000;-23.5076249;-46.4044739;04476-000;-23.7085634;-46.6305357
08062-000;-23.5085486;-46.4734814;03185-000;-23.5566908;-46.5943868
05005-000;-23.5317429;-46.6738405;05024-000;-23.5313327;-46.6871774
05119-000;-23.4974503;-46.73553029999999;03717-000;-23.501994;-46.5327722
02541-000;-23.4858469;-46.6564267;05410-000;-23.557603;-46.67698739999999
05570-000;-23.6037456;-46.7937865;03323-000;-23.5494495;-46.5710461
02673-000;-23.4586071;-46.6735519;02082-000;-23.4948376;-46.6092119
04190-000;-23.650852800000006;-46.6041867;02877-000;-23.4512067;-46.6823266
05633-000;-23.5999456;-46.73938709999999;05585-000;-23.5697948;-46.7192269
02402-000;-23.4981575;-46.62575589999999;03210-000;-23.5964344;-46.5556688
03165-000;-23.5566908;-46.5943868;08140-000;-23.5098688;-46.3972704
03181-000;-23.561388600000004;-46.5876735;01201-000;-23.531360100000004;-46.6436673
04144-000;-23.6183866;-46.6354633;03035-000;-23.5252538;-46.6144635
03937-000;-23.5859836;-46.50101189999999;04547-000;-23.6015892;-46.67552979999999
03273-000;-23.5818823;-46.5522869;02735-000;-23.4934548;-46.6916631
08250-000;-23.5492773;-46.4360551;03337-000;-23.5560489;-46.5626138
02201-000;-23.4855348;-46.5922002;02671-000;-23.4677562;-46.6647377
02116-000;-23.522351800000006;-46.5872261;04775-000;-23.6825239;-46.7034915
04650-000;-23.6568779;-46.6747591;03176-000;-23.5493432;-46.5879149
03360-000;-23.5697294;-46.545334;03183-000;-23.5598509;-46.59216319999999
01022-000;-23.5448448;-46.6334325;02440-000;-23.4754777;-46.6482824
05128-000;-23.4912352;-46.7413989;02161-000;-23.4943051;-46.5718934
03330-000;-23.5462706;-46.5845703;04040-000;-23.5996082;-46.6363934
03188-000;-23.5622355;-46.5773106;05351-000;-23.5587451;-46.76027029999999
03934-000;-23.590534100000006;-46.5016675;02925-000;-23.5008851;-46.69974939999999
02186-000;-23.5139547;-46.5687675;03662-000;-23.5243772;-46.498349
03475-000;-23.5709081;-46.5156265;04814-000;-23.720435;-46.6741555
03316-000;-23.5430556;-46.56689;04534-000;-23.583625;-46.671177
08280-000;-23.5571559;-46.4665158;05885-000;-23.6721325;-46.78657159999999
04833-000;-23.7383177;-46.70028920000001;01327-000;-23.5533104;-46.64694220000001
04474-000;-23.7102365;-46.6379525;05001-000;-23.5264533;-46.6734842
02110-000;-23.516588;-46.5952278;01529-000;-23.5675926;-46.6337305
03215-000;-23.6082789;-46.5576499;05850-000;-23.6585057;-46.7600597
05684-000;-23.608157;-46.70706269999999;04015-000;-23.5840561;-46.63704310000001
04883-000;-23.8098035;-46.7357609;05415-000;-23.5650402;-46.6809885
02035-000;-23.5039521;-46.6213446;03502-000;-23.5353301;-46.5407659
03416-000;-23.5619128;-46.54937520000001;05727-000;-23.6195342;-46.73485609999999
03820-000;-23.4890401;-46.5030656;03607-000;-23.5206304;-46.5440289
04042-000;-23.6025765;-46.6380467;04756-000;-23.6463165;-46.7072802
03533-000;-23.5491416;-46.5084406;02610-000;-23.4763349;-46.6669191
03821-000;-23.4890401;-46.5030656;03934-000;-23.590534100000006;-46.5016675
03358-000;-23.5652988;-46.550144;05617-000;-23.5913355;-46.7211042
04816-000;-23.7052401;-46.68550140000001;04078-000;-23.6061529;-46.6590677
03655-000;-23.5252385;-46.51472070000001;04005-000;-23.5740181;-46.64440399999999
08030-000;-23.5055773;-46.42248710000001;04282-000;-23.608492;-46.61081739999999
03139-000;-23.586177;-46.5896669;08190-000;-23.4907921;-46.3936691
04295-000;-23.6207086;-46.6056936;01257-000;-23.5432094;-46.6869798
03373-000;-23.5748617;-46.5517619;01550-000;-23.5741135;-46.6153674
01543-000;-23.5752538;-46.6230673;01232-000;-23.536534;-46.65592279999999
08151-000;-23.5076249;-46.4044739;04272-000;-23.5955019;-46.61796870000001
04155-000;-23.6328799;-46.6254447;04532-000;-23.583260600000006;-46.6761363
08130-000;-23.5063803;-46.3663941;03694-000;-23.5398461;-46.47656629999999
02189-000;-23.5080133;-46.5689954;04297-000;-23.6317848;-46.6046343
08062-000;-23.5085486;-46.4734814;05303-000;-23.5286727;-46.7297698
02670-000;-23.4670108;-46.663306;05411-000;-23.5560427;-46.67958820000001
01410-000;-23.564249;-46.6623807;01230-000;-23.53611;-46.6569622
04846-000;-23.7570314;-46.67657;03918-000;-23.591975100000006;-46.5195218
01238-000;-23.5435578;-46.6567873;03182-000;-23.5666143;-46.5877553
03380-000;-23.575588600000003;-46.5312685;05102-000;-23.5165117;-46.7494576
03756-000;-23.5057588;-46.5018412;01229-000;-23.5398857;-46.6597367
02120-000;-23.5126544;-46.5908734;04017-000;-23.5890897;-46.63752299999999
01512-000;-23.5539527;-46.6311295;03309-000;-23.5482052;-46.568389
03758-000;-23.5045804;-46.50001899999999;01423-000;-23.567162;-46.65890870000001
08032-000;-23.5151618;-46.42423410000001;03153-000;-23.6046349;-46.5684279
01526-000;-23.5641757;-46.631494;03732-000;-23.5091994;-46.53335939999999
01039-000;-23.545008600000006;-46.6435669;04136-000;-23.6106845;-46.628035
03380-000;-23.575588600000003;-46.5312685;01416-000;-23.5582407;-46.6657133
03434-000;-23.5579449;-46.5327214;04207-000;-23.5903319;-46.60266770000001
08250-000;-23.5492773;-46.4360551;05061-000;-23.5406243;-46.7020619
04646-000;-23.6433516;-46.67480670000001;04169-000;-23.635277;-46.6156027
04084-000;-23.6123828;-46.6644304;04003-000;-23.5718181;-46.64868509999999
02636-000;-23.4543475;-46.6451815;03810-000;-23.4866223;-46.4787744
08041-000;-23.5181818;-46.4436578;04516-000;-23.604099800000004;-46.66959809999999
04210-000;-23.5865732;-46.6035618;05763-000;-23.6431842;-46.7619836
01545-000;-23.578237;-46.6216472;03275-000;-23.5901306;-46.5522611
03534-000;-23.5453005;-46.5111423;03201-000;-23.6046349;-46.5684279
03921-000;-23.5923018;-46.51660210000001;05588-000;-23.605103600000003;-46.79575360000001
03934-000;-23.590534100000006;-46.5016675;05541-000;-23.5884137;-46.74307659999999
08062-000;-23.5085486;-46.4734814;04421-000;-23.6920122;-46.6403652
05528-000;-23.5971311;-46.7508475;04783-000;-23.6942202;-46.7035345
02618-000;-23.4672864;-46.65075760000001;02720-000;-23.4926163;-46.6620986
04824-000;-23.730683600000006;-46.6974039;03977-000;-23.6172351;-46.498083
09260-000;-23.6391573;-46.5004172;03081-000;-23.5340347;-46.5746603
01238-000;-23.5435578;-46.6567873;04111-000;-23.5875444;-46.6321981
03461-000;-23.5713317;-46.525954;01418-000;-23.5655598;-46.6545423
02318-000;-23.4497089;-46.5873123;05754-000;-23.6181831;-46.7530499
03984-000;-23.606902;-46.5094925;05468-000;-23.5387546;-46.71684550000001
03694-000;-23.5398461;-46.47656629999999;04559-000;-23.6130293;-46.6799419
03387-000;-23.5860617;-46.53070510000001;03366-000;-23.565567;-46.5361889
08110-000;-23.4972827;-46.4020726;04510-000;-23.5947498;-46.6663845
04535-000;-23.5905489;-46.6759664;04139-000;-23.6049427;-46.6349367
04296-000;-23.6183739;-46.6055364;04140-000;-23.6074927;-46.6336828
01552-000;-23.5706894;-46.6109932;04215-000;-23.5958532;-46.6008915
04243-000;-23.6261313;-46.58659;04709-000;-23.6333085;-46.6920369
03181-000;-23.561388600000004;-46.5876735;04131-000;-23.6076147;-46.6178917
04725-000;-23.643779;-46.7052182;03734-000;-23.5075125;-46.5285616
03188-000;-23.5622355;-46.5773106;02915-000;-23.5024138;-46.7055527
03682-000;-23.519291100000004;-46.4808923;01128-000;-23.5219934;-46.6379525
03321-000;-23.547507;-46.5642311;04608-000;-23.6268136;-46.67787740000001
05570-000;-23.6037456;-46.7937865;02735-000;-23.4934548;-46.6916631
04128-000;-23.6028727;-46.63165120000001;04615-000;-23.6162082;-46.6757921
04685-000;-23.6603756;-46.695485;04202-000;-23.5798832;-46.6061602
03273-000;-23.5818823;-46.5522869;04268-000;-23.595946;-46.6097896
03321-000;-23.547507;-46.5642311;05303-000;-23.5286727;-46.7297698
04537-000;-23.5879183;-46.6789831;04658-000;-23.6690873;-46.6687234
03940-000;-23.5915802;-46.4999995;04145-000;-23.6164129;-46.63158199999999
03058-000;-23.5379064;-46.58828200000001;04911-000;-23.6779151;-46.743051
04296-000;-23.6183739;-46.6055364;04807-000;-23.7160987;-46.6963797
02235-000;-23.479388;-46.58188970000001;05016-000;-23.5369068;-46.67706939999999
01007-000;-23.5510087;-46.6363965;02332-000;-23.4818124;-46.6218874
04549-000;-23.6032927;-46.676712;03080-000;-23.5311343;-46.578842
04661-000;-23.657746600000007;-46.6789846;02222-000;-23.4828407;-46.5746603
04359-000;-23.6407836;-46.6546708;03477-000;-23.5669184;-46.51268
03374-000;-23.5759172;-46.5512001;08250-000;-23.5492773;-46.4360551
04243-000;-23.6261313;-46.58659;02305-000;-23.4794174;-46.6080802
03081-000;-23.5340347;-46.5746603;04657-000;-23.6691515;-46.6723447
02201-000;-23.4855348;-46.5922002;05640-000;-23.611903100000006;-46.7412003
03603-000;-23.5233956;-46.5503256;05134-000;-23.4900364;-46.7451155
03653-000;-23.518981;-46.5170641;03191-000;-23.568577800000003;-46.5909925
04661-000;-23.657746600000007;-46.6789846;03508-000;-23.5360826;-46.53251029999999
03758-000;-23.5045804;-46.50001899999999;05065-000;-23.5181874;-46.69770159999999
05351-000;-23.5587451;-46.76027029999999;04252-000;-23.6134504;-46.5993648
03381-000;-23.5786509;-46.5350777;04716-000;-23.6338576;-46.6995088
01512-000;-23.5539527;-46.6311295;05726-000;-23.6195342;-46.73485609999999
02017-000;-23.5000629;-46.6302681;02910-000;-23.5055283;-46.7018
03405-000;-23.53969;-46.55275289999999;05736-000;-23.6424848;-46.74137279999999
03874-000;-23.5118682;-46.49559470000001;04232-000;-23.610199800000004;-46.5951461
03043-000;-23.5521669;-46.6123188;03279-000;-23.5854213;-46.5409374
03515-000;-23.5381596;-46.5279816;04458-000;-23.68849;-46.6718463
03181-000;-23.561388600000004;-46.5876735;01231-000;-23.5393767;-46.6572466
03407-000;-23.5417306;-46.5499294;03729-000;-23.5028575;-46.50613320000001
03425-000;-23.5510699;-46.53856649999999;04313-000;-23.6395034;-46.6404461
08060-000;-23.5026551;-46.4531318;08290-000;-23.5487008;-46.4474039
08021-000;-23.4977936;-46.4411451;05750-000;-23.615213;-46.74905829999999
04458-000;-23.68849;-46.6718463;01507-000;-23.558222;-46.6327238
03577-000;-23.5502088;-46.5031882;02407-000;-23.4846632;-46.62303439999999
03577-000;-23.5502088;-46.5031882;02017-000;-23.5000629;-46.6302681
04671-000;-23.653649100000006;-46.68456610000001;03336-000;-23.5541189;-46.5606477
02808-000;-23.4697454;-46.7013179;05353-000;-23.5607854;-46.7520809
04363-000;-23.6482796;-46.669374;03616-000;-23.5162854;-46.52821220000001
04047-000;-23.6070329;-46.6409684;04195-000;-23.6569719;-46.61322879999999
03188-000;-23.5622355;-46.5773106;03414-000;-23.5606737;-46.55125899999999
01543-000;-23.5752538;-46.6230673;02835-000;-23.4729598;-46.6955016
04173-000;-23.6402034;-46.61041210000001;05596-000;-23.5810164;-46.7453931
03934-000;-23.590534100000006;-46.5016675;04512-000;-23.5947498;-46.6663845
08120-000;-23.5002972;-46.3936691;08431-000;-23.5341722;-46.4245894
04144-000;-23.6183866;-46.6354633;05657-000;-23.6190724;-46.71849829999999
05546-000;-23.5875953;-46.7689067;03436-000;-23.558255;-46.5303968
02636-000;-23.4543475;-46.6451815;08344-000;-23.6114919;-46.45012020000001
05632-000;-23.6019539;-46.73376029999999;04754-000;-23.6510345;-46.7064288
03933-000;-23.584215;-46.49641010000001;03818-000;-23.4977528;-46.4931989
08060-000;-23.5026551;-46.4531318;03350-000;-23.571315;-46.5621907
03912-000;-23.5815255;-46.522881;05413-000;-23.5592609;-46.68200299999999
02461-000;-23.4926122;-46.63904829999999;04385-000;-23.664466600000004;-46.6529167
05379-000;-23.5667101;-46.75392249999999;03575-000;-23.5546675;-46.509836
04145-000;-23.6164129;-46.63158199999999;01530-000;-23.5694946;-46.6308205
04327-000;-23.6612421;-46.6349676;05458-000;-23.5503027;-46.70776770000001
05849-000;-23.6467713;-46.7635879;05047-000;-23.5260184;-46.69521870000001
03263-000;-23.5875131;-46.54695770000001;04514-000;-23.6005164;-46.6723266
02713-000;-23.506587600000003;-46.68687569999999;04387-000;-23.6628389;-46.6524305
05726-000;-23.6195342;-46.73485609999999;05351-000;-23.5587451;-46.76027029999999
05116-000;-23.5122465;-46.7472719;08466-000;-23.5063803;-46.3663941
05379-000;-23.5667101;-46.75392249999999;04618-000;-23.6268136;-46.67787740000001
03907-000;-23.5866153;-46.5077454;03160-000;-23.5818823;-46.5522869
04691-000;-23.6668358;-46.6931531;02242-000;-23.4913156;-46.6087284
03139-000;-23.586177;-46.5896669;03664-000;-23.5265715;-46.4984963
03626-000;-23.5133551;-46.5087983;05529-000;-23.5928918;-46.7540886
03261-000;-23.5848114;-46.5511723;05542-000;-23.5867992;-46.7503093
03306-000;-23.5453468;-46.57555439999999;03382-000;-23.58117;-46.5341815
03267-000;-23.6012552;-46.527524;08280-000;-23.5571559;-46.4665158
03891-000;-23.5139063;-46.4891933;04212-000;-23.5904658;-46.6037285
05180-000;-23.4580145;-46.7471359;03584-000;-23.559123;-46.4885939
03905-000;-23.5789139;-46.5144605;03261-000;-23.5848114;-46.5511723
03319-000;-23.5451718;-46.5640365;03114-000;-23.565861;-46.5943383
02435-000;-23.4807722;-46.6384544;02929-000;-23.4942049;-46.70779870000001
02612-000;-23.4709174;-46.6644368;03470-000;-23.5712334;-46.5247773
03689-000;-23.529190600000003;-46.4834442;04078-000;-23.6061529;-46.6590677
04311-000;-23.633986;-46.6379525;01151-000;-23.5307826;-46.6569873
03288-000;-23.5915584;-46.5332368;08253-000;-23.5413722;-46.43940689999999
08253-000;-23.5413722;-46.43940689999999;04843-000;-23.7361069;-46.6954144
03938-000;-23.591944100000006;-46.5042753;01417-000;-23.5618603;-46.67453880000001
03374-000;-23.5759172;-46.5512001;01451-000;-23.5842928;-46.68200299999999
08060-000;-23.5026551;-46.4531318;04279-000;-23.6051343;-46.6105646
03374-000;-23.5759172;-46.5512001;02475-000;-23.483003600000004;-46.6483393
03089-000;-23.5371166;-46.558232200000006;04125-000;-23.6000766;-46.6217146
02406-000;-23.4885648;-46.6314826;05346-000;-23.5511115;-46.7401002
04662-000;-23.6589169;-46.6990719;04812-000;-23.7185026;-46.6917771
02069-000;-23.5052399;-46.6132771;05879-000;-23.6866629;-46.795269
08295-000;-23.5472912;-46.45012020000001;03542-000;-23.5299443;-46.51494659999999
04622-000;-23.6290246;-46.67983570000001;02374-000;-23.4543488;-46.6235757
04831-000;-23.7311525;-46.7140373;05372-000;-23.5838089;-46.76084470000001
04843-000;-23.7361069;-46.6954144;05424-000;-23.5697554;-46.69746929999999
04771-000;-23.6786785;-46.7115076;02614-000;-23.4734643;-46.65436589999999
03275-000;-23.5901306;-46.5522611;04645-000;-23.645663;-46.6798797
03624-000;-23.5133551;-46.5087983;02020-000;-23.4957589;-46.6323516
03407-000;-23.5417306;-46.5499294;01229-000;-23.5398857;-46.6597367
05135-000;-23.4908835;-46.7471829;04662-000;-23.6589169;-46.6990719
05727-000;-23.6195342;-46.73485609999999;04696-000;-23.6748771;-46.6970638
03874-000;-23.5118682;-46.49559470000001;03245-000;-23.6047502;-46.5349179
08245-000;-23.5225461;-46.4405069;01227-000;-23.5412882;-46.6555295
02020-000;-23.4957589;-46.6323516;08031-000;-23.5155804;-46.4193618
04703-000;-23.6231763;-46.6888239;04781-000;-23.687963600000003;-46.7025329
04661-000;-23.657746600000007;-46.6789846;01139-000;-23.5178131;-46.6741555
04549-000;-23.6032927;-46.676712;04543-000;-23.5901692;-46.68049370000001
03124-000;-23.568577800000003;-46.5909925;04140-000;-23.6074927;-46.6336828
01022-000;-23.5448448;-46.6334325;04152-000;-23.6223343;-46.6265867
04703-000;-23.6231763;-46.6888239;04143-000;-23.6206338;-46.6331393
05546-000;-23.5875953;-46.7689067;01455-000;-23.5800319;-46.6934362
02854-000;-23.4584724;-46.6974573;03165-000;-23.5566908;-46.5943868
01512-000;-23.5539527;-46.6311295;05423-000;-23.5718525;-46.6975258
03081-000;-23.5340347;-46.5746603;03193-000;-23.5756867;-46.5791309
03150-000;-23.581913;-46.59102439999999;04116-000;-23.59211;-46.6274492
02122-000;-23.5061454;-46.5906823;02802-000;-23.4879664;-46.6964938
02939-000;-23.473405;-46.7321349;03693-000;-23.532216100000007;-46.4785658
04809-000;-23.7159508;-46.69755749999999;05007-000;-23.5374547;-46.66786339999999
02460-000;-23.491554500000003;-46.6364297;04524-000;-23.6074685;-46.66630929999999
03374-000;-23.5759172;-46.5512001;02374-000;-23.4543488;-46.6235757
08275-000;-23.568724300000003;-46.475454;04347-000;-23.6411413;-46.6468169
03620-000;-23.511072;-46.5084406;02242-000;-23.4913156;-46.6087284
03625-000;-23.5143235;-46.5114946;04708-000;-23.631129100000006;-46.6923712
02618-000;-23.4672864;-46.65075760000001;08420-000;-23.5405298;-46.42729170000001
02041-000;-23.4921174;-46.61804179999999;04570-000;-23.603266;-46.6909013
04125-000;-23.6000766;-46.6217146;03275-000;-23.5901306;-46.5522611
02041-000;-23.4921174;-46.61804179999999;02722-000;-23.5027033;-46.6831026
03263-000;-23.5875131;-46.54695770000001;04538-000;-23.5903269;-46.6804869
03270-000;-23.6004604;-46.5204523;03591-000;-23.550918600000006;-46.48036200000001
03311-000;-23.5477317;-46.5635172;04689-000;-23.6693518;-46.6924156
08280-000;-23.5571559;-46.4665158;02521-000;-23.5025043;-46.66329320000001
04270-000;-23.5909812;-46.6132789;05617-000;-23.5913355;-46.7211042
02809-000;-23.4726993;-46.7046597;05763-000;-23.6431842;-46.7619836
04846-000;-23.7570314;-46.67657;01327-000;-23.5533104;-46.64694220000001
05528-000;-23.5971311;-46.7508475;04120-000;-23.5932202;-46.6356599
01309-000;-23.5569581;-46.65896770000001;08061-000;-23.502056;-46.4638334
03281-000;-23.5819618;-46.5522873;01332-000;-23.5598025;-46.6530639
03188-000;-23.5622355;-46.5773106;05634-000;-23.605718300000003;-46.7373273
04363-000;-23.6482796;-46.669374;03446-000;-23.5501234;-46.5307307
03324-000;-23.5492244;-46.56804279999999;02072-000;-23.4999826;-46.6110152
03181-000;-23.561388600000004;-46.5876735;01404-000;-23.566854100000004;-46.6541039
02423-000;-23.469236;-46.63297;01523-000;-23.5643893;-46.6175398
05379-000;-23.5667101;-46.75392249999999;04186-000;-23.6444714;-46.598018
03930-000;-23.5806552;-46.49839009999999;01254-000;-23.5406508;-46.6824559
08240-000;-23.526461;-46.4455459;02611-000;-23.4714594;-46.6665266
03181-000;-23.561388600000004;-46.5876735;04717-000;-23.63546;-46.6984727
04811-000;-23.7105764;-46.69584860000001;05017-000;-23.5419693;-46.6833889
02671-000;-23.4677562;-46.6647377;04195-000;-23.6569719;-46.61322879999999
04691-000;-23.6668358;-46.6931531;05051-000;-23.5282375;-46.7016296
03944-000;-23.6014749;-46.4933009;05726-000;-23.6195342;-46.73485609999999
03257-000;-23.611393600000003;-46.52896610000001;05634-000;-23.605718300000003;-46.7373273
08120-000;-23.5002972;-46.3936691;04144-000;-23.6183866;-46.6354633
08280-000;-23.5571559;-46.4665158;03623-000;-23.518981;-46.5170641
04069-000;-23.6254052;-46.64534219999999;05060-000;-23.5322889;-46.71306660000001
02633-000;-23.4621534;-46.6512121;02243-000;-23.4916515;-46.6035839
01022-000;-23.5448448;-46.6334325;04041-000;-23.6013552;-46.6397316
03513-000;-23.5391078;-46.52408459999999;04206-000;-23.5866263;-46.6041561
03690-000;-23.527349800000003;-46.4790647;01314-000;-23.5521928;-46.6459975
02136-000;-23.498731600000006;-46.5826396;02114-000;-23.5218419;-46.5909902
04537-000;-23.5879183;-46.6789831;02875-000;-23.4626591;-46.68148559999999
05116-000;-23.5122465;-46.7472719;02925-000;-23.5008851;-46.69974939999999
02253-000;-23.4788267;-46.5955443;05577-000;-23.5776147;-46.7243724
02312-000;-23.4661768;-46.5993846;01403-000;-23.5694873;-46.6541838
04821-000;-23.7261738;-46.6838141;04015-000;-23.5840561;-46.63704310000001
04846-000;-23.7570314;-46.67657;05614-000;-23.5959213;-46.7121969
03145-000;-23.5915359;-46.5722508;08060-000;-23.5026551;-46.4531318
03453-000;-23.5681411;-46.509688;05633-000;-23.5999456;-46.73938709999999
05409-000;-23.5586809;-46.6748032;05027-000;-23.5337238;-46.6929631
03215-000;-23.6082789;-46.5576499;03210-000;-23.5964344;-46.5556688
04537-000;-23.5879183;-46.6789831;03918-000;-23.591975100000006;-46.5195218
04784-000;-23.691764000000006;-46.71521729999999;05335-000;-23.5512567;-46.7487855
02201-000;-23.4855348;-46.5922002;08240-000;-23.526461;-46.4455459
08062-000;-23.5085486;-46.4734814;03213-000;-23.6051489;-46.5599094
04617-000;-23.618325;-46.6766118;04650-000;-23.6568779;-46.6747591
08151-000;-23.5076249;-46.4044739;01207-000;-23.5385817;-46.6390861
04119-000;-23.5929439;-46.6351992;05159-000;-23.4871872;-46.752582200000006
02186-000;-23.5139547;-46.5687675;05820-000;-23.6785228;-46.74680739999999
02460-000;-23.491554500000003;-46.6364297;04459-000;-23.6941808;-46.6723447
03402-000;-23.542047600000004;-46.5489521;02727-000;-23.4935764;-46.68623119999999
05639-000;-23.6091;-46.7399915;03237-000;-23.5910266;-46.5520989
05140-000;-23.4907962;-46.7254881;01318-000;-23.5565297;-46.6400883
04854-000;-23.7676385;-46.694887;05458-000;-23.5503027;-46.70776770000001
03425-000;-23.5510699;-46.53856649999999;04125-000;-23.6000766;-46.6217146
03201-000;-23.6046349;-46.5684279;03451-000;-23.5643785;-46.5138065
04652-000;-23.6624547;-46.6643689;01404-000;-23.566854100000004;-46.6541039
04016-000;-23.5857094;-46.63831679999999;04313-000;-23.6395034;-46.6404461
05049-000;-23.526771;-46.70070070000001;04674-000;-23.665025600000003;-46.686229
02969-000;-23.4847277;-46.714914;05727-000;-23.6195342;-46.73485609999999
03261-000;-23.5848114;-46.5511723;01303-000;-23.5491306;-46.6485864
03936-000;-23.5901627;-46.49641010000001;04187-000;-23.6486599;-46.59273560000001
04042-000;-23.6025765;-46.6380467;01309-000;-23.5569581;-46.65896770000001
02189-000;-23.5080133;-46.5689954;04041-000;-23.6013552;-46.6397316
05116-000;-23.5122465;-46.7472719;03090-000;-23.530091;-46.5529787
05026-000;-23.5314802;-46.6900633;04207-000;-23.5903319;-46.60266770000001
02227-000;-23.479626100000004;-46.5722508;05409-000;-23.5586809;-46.6748032
04302-000;-23.6206695;-46.6380898;05372-000;-23.5838089;-46.76084470000001
03625-000;-23.5143235;-46.5114946;04640-000;-23.6338233;-46.6818949
08253-000;-23.5413722;-46.43940689999999;05729-000;-23.6424848;-46.74137279999999
08151-000;-23.5076249;-46.4044739;01026-000;-23.5394056;-46.63278769999999
08280-000;-23.5571559;-46.4665158;08330-000;-23.6104872;-46.4724283
03424-000;-23.5506361;-46.54085900000001;03355-000;-23.5587562;-46.553055
03373-000;-23.5748617;-46.5517619;04015-000;-23.5840561;-46.63704310000001
08051-000;-23.5154607;-46.46421309999999;03729-000;-23.5028575;-46.50613320000001
04883-000;-23.8098035;-46.7357609;02652-000;-23.4589495;-46.6536047
03530-000;-23.539945;-46.5224774;04842-000;-23.7316157;-46.688221
03139-000;-23.586177;-46.5896669;04206-000;-23.5866263;-46.6041561
02210-000;-23.483131600000004;-46.5915896;04624-000;-23.6291517;-46.6687971
02911-000;-23.5042812;-46.6973208;01135-000;-23.5232514;-46.6528609
03414-000;-23.5606737;-46.55125899999999;03613-000;-23.5183223;-46.5340162
03361-000;-23.5709567;-46.5309696;04607-000;-23.6233153;-46.67618820000001
02136-000;-23.498731600000006;-46.5826396;05092-000;-23.5152829;-46.71521729999999
03129-000;-23.581913;-46.59102439999999;04205-000;-23.5810908;-46.6059157
02312-000;-23.4661768;-46.5993846;03814-000;-23.487645;-46.4837813
03561-000;-23.5461111;-46.4956214;05711-000;-23.6110419;-46.7445093
03374-000;-23.5759172;-46.5512001;02209-000;-23.4823392;-46.5896644
03912-000;-23.5815255;-46.522881;05525-000;-23.6037435;-46.74663620000001
02967-000;-23.4812342;-46.7077351;08331-000;-23.6104872;-46.4724283
03311-000;-23.5477317;-46.5635172;04507-000;-23.586150600000003;-46.66728610000001
02227-000;-23.479626100000004;-46.5722508;05350-000;-23.569893;-46.76019429999999
03121-000;-23.5621022;-46.5978592;04297-000;-23.6317848;-46.6046343
05860-000;-23.6648001;-46.7673066;02259-000;-23.4708897;-46.5802801
03654-000;-23.5250428;-46.5177318;03153-000;-23.6046349;-46.5684279
03204-000;-23.595589;-46.5565743;05092-000;-23.5152829;-46.71521729999999
02318-000;-23.4497089;-46.5873123;02083-000;-23.4952296;-46.597013
04312-000;-23.6322804;-46.6313181;03460-000;-23.5667;-46.5145193
03891-000;-23.5139063;-46.4891933;02517-000;-23.5085924;-46.661469200000006
03427-000;-23.551983;-46.5352217;03370-000;-23.5682155;-46.5597146
04042-000;-23.6025765;-46.6380467;01046-000;-23.546314;-46.64368289999999
03694-000;-23.5398461;-46.47656629999999;02179-000;-23.5213391;-46.5681756
03127-000;-23.5789133;-46.586879;08141-000;-23.512111800000003;-46.390068
03934-000;-23.590534100000006;-46.5016675;05577-000;-23.5776147;-46.7243724
01109-000;-23.5261331;-46.6240816;05881-000;-23.6821109;-46.781304
03125-000;-23.5704815;-46.5876009;02247-000;-23.4894914;-46.6004466
02713-000;-23.506587600000003;-46.68687569999999;04324-000;-23.6502763;-46.63778869999999
03524-000;-23.546573;-46.513333;03977-000;-23.6172351;-46.498083
05171-000;-23.4778535;-46.7479531;02303-000;-23.4827459;-46.6109684
02079-000;-23.4993877;-46.6034914;03116-000;-23.5665408;-46.58807849999999
02737-000;-23.4889928;-46.6892778;05407-000;-23.5561471;-46.67921940000001
05727-000;-23.6195342;-46.73485609999999;05351-000;-23.5587451;-46.76027029999999
04763-000;-23.6686773;-46.7169915;08021-000;-23.4977936;-46.4411451
08240-000;-23.526461;-46.4455459;04561-000;-23.6091526;-46.6846663
02312-000;-23.4661768;-46.5993846;04807-000;-23.7160987;-46.6963797
03168-000;-23.5497004;-46.5960461;01520-000;-23.5592539;-46.62073119999999
04174-000;-23.632634600000006;-46.6065978;01401-000;-23.5704612;-46.65179000000001
04518-000;-23.6107806;-46.6741555;01033-000;-23.5386431;-46.636143
01021-000;-23.5449428;-46.6323695;03376-000;-23.577981;-46.5396603
01527-000;-23.5631238;-46.6265155;03333-000;-23.5552839;-46.5736133
03821-000;-23.4890401;-46.5030656;03109-000;-23.581913;-46.59102439999999
